DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<10k,10k-15k,15k-25k,25k-35k,35k-50k,50k-75k,75k-100k,100k-150k,150k-200k,200k<,% with Computer,% with Internet
Lassen View School District,CA,353.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.038,0.0,0.0,0.024,0.121,0.091,0.273,0.121,0.182,0.091,0.091,1.0,0.818
Los Molinos Unified School District,CA,560.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,0.11965811965811966,0.5641025641025641,0.3162393162393163,0.805,0.0,0.0,0.0,0.237,0.028999999999999998,0.028999999999999998,0.08800000000000001,0.0,0.08800000000000001,0.441,0.059000000000000004,0.162,0.044000000000000004,0.059000000000000004,0.956,0.897
Lost Hills Union School District,CA,589.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.15189873417721517,0.8481012658227848,0.0,0.938,0.0,0.0,0.0,0.049,0.016,0.0,0.098,0.235,0.255,0.196,0.078,0.11800000000000001,0.0,0.0,0.353,0.255
Konocti Unified School District,CA,3931.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Not required,No,Unknown,Never closed,No,0.09249329758713137,0.6461126005361931,0.2613941018766756,0.489,0.059000000000000004,0.077,0.006999999999999999,0.384,0.135,0.073,0.128,0.175,0.098,0.16,0.153,0.07,0.0,0.008,0.937,0.8320000000000001
Sierra-Plumas Joint Unified School Dist,CA,393.0,On Premises,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,0.037037037037037035,0.6419753086419754,0.3209876543209877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.061,0.152,0.242,0.182,0.212,0.024,1.0,0.97
Lucerne Valley Unified School District,CA,2828.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for high school students only,Yes,Yes,Closed indefinitely,Yes,0.08823529411764706,0.6823529411764706,0.22941176470588234,0.956,0.05,0.0,0.039,0.022000000000000002,0.09699999999999999,0.054000000000000006,0.19399999999999998,0.129,0.022000000000000002,0.11800000000000001,0.151,0.19399999999999998,0.032,0.0,0.978,0.7959999999999999
Lynwood Unified School District,CA,19362.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Unknown,No,0.08243478260869565,0.5846956521739131,0.3328695652173913,0.578,0.043,0.008,0.005,0.381,0.049,0.036000000000000004,0.10800000000000001,0.14800000000000002,0.193,0.177,0.11699999999999999,0.096,0.051,0.024,0.915,0.758
Golden Valley Unified School District,CA,2031.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,No,0.0625,0.6048387096774194,0.3326612903225806,0.8170000000000001,0.037000000000000005,0.0,0.099,0.103,0.0,0.012,0.021,0.025,0.10800000000000001,0.195,0.10800000000000001,0.299,0.158,0.079,0.988,0.905
Madera Unified School District,CA,22297.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Unknown,0.06929283341243474,0.6309919316563835,0.2997152349311818,0.7140000000000001,0.023,0.016,0.022000000000000002,0.266,0.077,0.054000000000000006,0.10099999999999999,0.12300000000000001,0.156,0.168,0.131,0.154,0.021,0.013999999999999999,0.9359999999999999,0.816
Manchester Union School District,CA,45.0,Online Only,Unknown,No,Yes,Yes,Required for all staff,Not required,Unknown,Unknown,Never closed,Unknown,0.03508771929824561,0.9649122807017544,0.0,0.609,0.0,0.478,0.0,0.0,0.0,0.057,0.057,0.057,0.057,0.28600000000000003,0.057,0.14300000000000002,0.057,0.14300000000000002,0.857,0.7859999999999999
