DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<10k,10k-15k,15k-25k,25k-35k,35k-50k,50k-75k,75k-100k,100k-150k,150k-200k,200k<,% with Computer,% with Internet
Yupiit School District,AK,463.0,On Premises,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,0.14102564102564105,0.5897435897435898,0.2692307692307693,0.024,0.0,0.988,0.0,0.0,0.079,0.079,0.158,0.132,0.105,0.263,0.079,0.105,0.0,0.0,0.868,0.526
Anchorage School District,AK,48347.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,0.0840676592727641,0.6034639927073837,0.3124683480198521,0.66,0.11,0.185,0.166,0.092,0.024,0.013999999999999999,0.048,0.049,0.073,0.172,0.149,0.22399999999999998,0.128,0.11900000000000001,0.9840000000000001,0.929
Chatham School District,AK,156.0,Hybrid,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,0.23076923076923075,0.6153846153846154,0.15384615384615385,0.46399999999999997,0.028999999999999998,0.607,0.071,0.0,0.053,0.053,0.133,0.053,0.133,0.133,0.2,0.133,0.053,0.053,0.9329999999999999,0.867
Kuspuk School District,AK,385.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.10294117647058822,0.6176470588235293,0.2794117647058823,0.086,0.0,0.988,0.0,0.0,0.098,0.073,0.073,0.146,0.171,0.195,0.098,0.122,0.02,0.02,0.902,0.732
Lower Kuskokwim School District,AK,4310.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,0.06997455470737914,0.6501272264631044,0.27989821882951654,0.10300000000000001,0.017,0.8959999999999999,0.01,0.020999999999999998,0.067,0.051,0.113,0.077,0.133,0.16399999999999998,0.1,0.16699999999999998,0.08199999999999999,0.046,0.9329999999999999,0.821
Kashunamiut School District,AK,323.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Unknown,Never closed,Yes,0.10344827586206896,0.6724137931034483,0.22413793103448276,0.012,0.012,0.986,0.0,0.0,0.03,0.03,0.111,0.185,0.29600000000000004,0.185,0.07400000000000001,0.07400000000000001,0.03,0.0,0.852,0.778
Craig City School District,AK,620.0,On Premises,Yes,Yes,No,Yes,Not required,Not required,Yes,Yes,Closed indefinitely,No,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.784,0.039,0.451,0.039,0.016,0.03,0.03,0.07400000000000001,0.111,0.07400000000000001,0.185,0.111,0.185,0.111,0.07400000000000001,0.9259999999999999,0.7040000000000001
Delta-Greely School District,AK,792.0,On Premises,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.046875,0.65625,0.296875,0.929,0.049,0.049,0.022000000000000002,0.045,0.0,0.032,0.009000000000000001,0.032,0.032,0.245,0.18100000000000002,0.266,0.149,0.053,0.9890000000000001,0.787
Dillingham City School District,AK,490.0,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.10666666666666667,0.5866666666666667,0.30666666666666664,0.364,0.019,0.785,0.006999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.035,0.053,0.12300000000000001,0.228,0.14,0.228,0.07,0.08800000000000001,1.0,0.9470000000000001
Southwest Region School District,AK,641.0,On Premises,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.10937499999999999,0.578125,0.3125,0.063,0.013000000000000001,0.9620000000000001,0.005,0.0,0.083,0.011000000000000001,0.111,0.153,0.16699999999999998,0.19399999999999998,0.139,0.139,0.011000000000000001,0.0,0.889,0.778
Fairbanks North Star Borough Schl Dist,AK,13963.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,0.0985691573926868,0.6483306836248013,0.2531001589825119,0.83,0.087,0.162,0.055999999999999994,0.026000000000000002,0.028999999999999998,0.012,0.013000000000000001,0.064,0.102,0.162,0.183,0.222,0.125,0.08900000000000001,0.995,0.9129999999999999
Yukon-Koyukuk School District,AK,2069.0,Online Only,Unknown,Unknown,Pending,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.11235955056179775,0.5955056179775281,0.29213483146067415,0.23,0.008,0.83,0.008,0.0,0.067,0.044000000000000004,0.156,0.111,0.133,0.244,0.067,0.111,0.044000000000000004,0.018000000000000002,0.8220000000000001,0.511
Yukon Flats School District,AK,242.0,Online Only,No,Unknown,No,No,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,0.12244897959183672,0.5510204081632653,0.32653061224489793,0.121,0.013999999999999999,1.0,0.0,0.0,0.133,0.067,0.16699999999999998,0.133,0.1,0.2,0.1,0.133,0.027000000000000003,0.0,0.767,0.33299999999999996
Galena City School District,AK,4313.0,Hybrid,No,No,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.03508771929824561,0.6140350877192982,0.3508771929824561,0.46399999999999997,0.028999999999999998,0.5710000000000001,0.0,0.0,0.0,0.062,0.062,0.062,0.062,0.154,0.154,0.154,0.154,0.062,0.846,0.6920000000000001
Copper River School District,AK,479.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,0.04938271604938272,0.8641975308641976,0.08641975308641975,0.813,0.009000000000000001,0.297,0.066,0.055,0.0,0.0,0.10300000000000001,0.069,0.027999999999999997,0.31,0.027999999999999997,0.172,0.138,0.10300000000000001,1.0,0.9309999999999999
Haines Borough School District,AK,249.0,Hybrid,Yes,Unknown,Yes,No,Not required,Required for all students,Yes,No,Closed 1-5 days,Yes,0.02777777777777778,0.7222222222222222,0.25,0.8490000000000001,0.068,0.151,0.08199999999999999,0.0,0.021,0.0,0.021,0.158,0.021,0.237,0.021,0.42100000000000004,0.021,0.132,0.9740000000000001,0.9470000000000001
Denali Borough School District,AK,950.0,On Premises,No,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.0,0.5641025641025641,0.43589743589743585,0.917,0.017,0.083,0.083,0.0,0.035,0.0,0.0,0.035,0.13,0.13,0.174,0.435,0.087,0.0,1.0,1.0
Hoonah City Schools,AK,125.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,0.04040404040404041,0.6565656565656566,0.30303030303030304,0.33299999999999996,0.095,0.81,0.0,0.0,0.0,0.0,0.067,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.067,0.0,0.917,0.75
Hydaburg City School District,AK,93.0,Unknown,No,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,0.05797101449275363,0.5797101449275364,0.3623188405797102,0.222,0.0,0.778,0.0,0.111,0.08900000000000001,0.08900000000000001,0.222,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.222,0.08900000000000001,0.0,0.0,1.0,0.667
Juneau School District,AK,4863.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,0.09432048681541584,0.5983772819472617,0.30730223123732253,0.7609999999999999,0.037000000000000005,0.264,0.159,0.053000000000000005,0.027000000000000003,0.013000000000000001,0.019,0.013000000000000001,0.04,0.131,0.18600000000000003,0.27899999999999997,0.142,0.14800000000000002,0.982,0.97
Kake City School District,AK,102.0,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.04255319148936171,0.6382978723404256,0.3191489361702128,0.318,0.036000000000000004,0.8640000000000001,0.036000000000000004,0.0,0.073,0.0,0.073,0.182,0.182,0.273,0.182,0.073,0.0,0.0,1.0,0.909
Ketchikan Gateway Borough Schl District,AK,2397.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Yes,Closed 1-5 days,Yes,0.0735632183908046,0.6252873563218391,0.30114942528735633,0.716,0.023,0.293,0.135,0.041,0.027000000000000003,0.013999999999999999,0.031,0.061,0.085,0.22399999999999998,0.149,0.22399999999999998,0.115,0.071,0.9690000000000001,0.922
Lake and Peninsula School District,AK,386.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.08928571428571429,0.5892857142857143,0.32142857142857145,0.24600000000000002,0.012,0.769,0.077,0.012,0.027000000000000003,0.067,0.067,0.1,0.16699999999999998,0.3,0.1,0.1,0.027000000000000003,0.027000000000000003,0.9329999999999999,0.767
Klawock City School District,AK,115.0,On Premises,Unknown,Yes,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 1-5 days,Unknown,0.12,0.64,0.24,0.654,0.0,0.5770000000000001,0.031,0.0,0.0,0.0,0.057,0.057,0.14300000000000002,0.214,0.28600000000000003,0.14300000000000002,0.057,0.057,0.929,0.643
Kodiak Island Borough School District,AK,2323.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,0.07966457023060797,0.6163522012578616,0.3039832285115304,0.529,0.001,0.257,0.273,0.08399999999999999,0.026000000000000002,0.003,0.04,0.063,0.033,0.301,0.156,0.255,0.086,0.036000000000000004,0.9670000000000001,0.94
Northwest Arctic Borough School District,AK,2260.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.10263157894736842,0.6263157894736843,0.2710526315789474,0.09300000000000001,0.015,0.9329999999999999,0.013000000000000001,0.011000000000000001,0.06,0.03,0.075,0.105,0.14,0.19,0.12,0.16,0.085,0.035,0.905,0.775
Iditarod Area School District,AK,330.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.05555555555555556,0.6666666666666666,0.2777777777777778,0.217,0.0,0.935,0.0,0.017,0.087,0.087,0.035,0.13,0.217,0.13,0.174,0.087,0.035,0.035,0.87,0.7390000000000001
Annette Island School District,AK,323.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,0.10958904109589042,0.6438356164383562,0.24657534246575344,0.183,0.024,0.878,0.037000000000000005,0.0,0.055999999999999994,0.022000000000000002,0.111,0.083,0.111,0.222,0.139,0.083,0.16699999999999998,0.022000000000000002,1.0,0.8059999999999999
Lower Yukon School District,AK,2105.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,No,Closed indefinitely,Yes,0.08839779005524862,0.6160220994475137,0.29558011049723754,0.045,0.004,0.993,0.006999999999999999,0.002,0.087,0.06,0.153,0.153,0.158,0.18600000000000003,0.087,0.071,0.027000000000000003,0.004,0.863,0.6779999999999999
Bristol Bay Borough School District,AK,99.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,0.13333333333333333,0.5666666666666667,0.3,0.594,0.025,0.5,0.025,0.05,0.044000000000000004,0.0,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.16699999999999998,0.16699999999999998,0.222,0.111,0.111,0.9440000000000001,0.833
Nome Public Schools,AK,714.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,0.08108108108108107,0.6283783783783784,0.2905405405405405,0.31,0.032,0.775,0.011000000000000001,0.015000000000000001,0.019,0.0,0.028999999999999998,0.136,0.078,0.204,0.146,0.19399999999999998,0.078,0.11699999999999999,0.971,0.825
Matanuska-Susitna Borough Schl District,AK,26075.0,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,0.06932668329177058,0.6396508728179551,0.2910224438902743,0.899,0.035,0.149,0.042,0.024,0.03,0.011000000000000001,0.045,0.039,0.08800000000000001,0.161,0.162,0.259,0.132,0.073,0.986,0.937
Petersburg School District,AK,447.0,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,0.050505050505050504,0.6464646464646465,0.30303030303030304,0.76,0.006999999999999999,0.149,0.256,0.032,0.034,0.013999999999999999,0.086,0.034,0.069,0.24100000000000002,0.138,0.22399999999999998,0.10300000000000001,0.069,0.948,0.879
Saint Marys City School District,AK,180.0,Other,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,0.058823529411764705,0.7058823529411764,0.23529411764705882,0.02,0.02,1.0,0.0,0.05,0.11800000000000001,0.047,0.11800000000000001,0.11800000000000001,0.11800000000000001,0.353,0.11800000000000001,0.047,0.0,0.047,0.941,0.941
Pribilof School District,AK,68.0,Hybrid,No,Unknown,No,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,0.0625,0.703125,0.234375,0.047,0.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.25,0.1,0.25,0.0,0.0,1.0,0.75
Aleutians East Borough School District,AK,219.0,Hybrid,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,0.07407407407407407,0.5679012345679012,0.35802469135802467,0.204,0.032,0.763,0.161,0.044000000000000004,0.013999999999999999,0.013999999999999999,0.08900000000000001,0.071,0.071,0.23199999999999998,0.179,0.196,0.071,0.071,0.9640000000000001,0.804
Sitka School District,AK,1328.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,0.046822742474916385,0.6789297658862877,0.27424749163879597,0.77,0.017,0.32899999999999996,0.13699999999999998,0.024,0.027000000000000003,0.016,0.033,0.027000000000000003,0.10400000000000001,0.21899999999999997,0.109,0.268,0.109,0.08199999999999999,0.9840000000000001,0.907
Skagway School District,AK,147.0,On Premises,Unknown,Yes,No,No,Required for all staff,Required for all students,Yes,No,Never closed,Yes,0.08333333333333334,0.5833333333333334,0.33333333333333337,0.9620000000000001,0.0,0.115,0.077,0.0,0.0,0.0,0.057,0.0,0.057,0.214,0.14300000000000002,0.429,0.057,0.057,1.0,0.929
Kenai Peninsula Borough School District,AK,9124.0,Hybrid,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Yes,Unknown,Yes,0.06799784133837021,0.6200755531570427,0.3119266055045871,0.893,0.015,0.162,0.037000000000000005,0.024,0.04,0.017,0.055,0.062,0.114,0.16399999999999998,0.125,0.231,0.124,0.067,0.96,0.8640000000000001
Southeast Island School District,AK,177.0,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,0.017857142857142856,0.6249999999999999,0.35714285714285715,0.895,0.0,0.193,0.013999999999999999,0.013999999999999999,0.0,0.024,0.024,0.024,0.059000000000000004,0.147,0.294,0.294,0.147,0.0,1.0,0.912
Alaska Gateway School District,AK,417.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,0.06521739130434782,0.6847826086956522,0.25,0.285,0.0,0.528,0.187,0.0,0.085,0.0,0.106,0.017,0.128,0.106,0.043,0.319,0.149,0.017,0.872,0.723
Bering Strait School District,AK,1767.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,No,Closed 6-14 days,Yes,0.10714285714285714,0.6398809523809523,0.25297619047619047,0.059000000000000004,0.002,0.975,0.008,0.002,0.063,0.042,0.099,0.12,0.172,0.22899999999999998,0.13,0.10400000000000001,0.042,0.004,0.932,0.7240000000000001
Unalaska City School District,AK,480.0,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,0.08,0.632,0.28800000000000003,0.401,0.02,0.102,0.483,0.279,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.042,0.027999999999999997,0.16899999999999998,0.254,0.282,0.085,0.113,0.986,0.845
North Slope Borough School District,AK,2197.0,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,0.11111111111111109,0.6461988304093567,0.24269005847953218,0.14800000000000002,0.054000000000000006,0.8440000000000001,0.07200000000000001,0.069,0.004,0.027000000000000003,0.021,0.053,0.14400000000000002,0.165,0.17,0.18100000000000002,0.128,0.106,0.9520000000000001,0.8140000000000001
Wrangell Public Schools,AK,292.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.0547945205479452,0.5205479452054794,0.4246575342465753,0.644,0.0,0.494,0.046,0.023,0.018000000000000002,0.018000000000000002,0.044000000000000004,0.018000000000000002,0.17800000000000002,0.17800000000000002,0.17800000000000002,0.2,0.044000000000000004,0.111,0.978,0.9109999999999999
Yakutat School District,AK,111.0,Hybrid,Unknown,Unknown,No,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,0.033613445378151266,0.6302521008403361,0.33613445378151263,0.621,0.0,0.345,0.10300000000000001,0.097,0.0,0.062,0.062,0.062,0.062,0.231,0.231,0.308,0.062,0.0,1.0,0.846
Henry County School District,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.045454545454545456,0.6521739130434784,0.3023715415019763,0.721,0.29100000000000004,0.008,0.008,0.013000000000000001,0.065,0.015,0.10800000000000001,0.111,0.105,0.244,0.071,0.17300000000000001,0.086,0.022000000000000002,0.9229999999999999,0.9009999999999999
Alabaster City School District,AL,6277.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.07018927444794952,0.6545741324921135,0.27523659305993686,0.735,0.149,0.004,0.03,0.14100000000000001,0.016,0.034,0.037000000000000005,0.067,0.078,0.136,0.139,0.354,0.096,0.042,0.996,0.9470000000000001
Albertville City School System,AL,4995.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.09367945823927766,0.6715575620767494,0.23476297968397294,0.9059999999999999,0.043,0.013000000000000001,0.013000000000000001,0.051000000000000004,0.046,0.096,0.19,0.10400000000000001,0.115,0.18600000000000003,0.125,0.109,0.015,0.013000000000000001,0.877,0.785
Alexander City Schools,AL,3055.0,Hybrid,Unknown,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,0.0679611650485437,0.6375404530744336,0.29449838187702265,0.48100000000000004,0.424,0.0,0.022000000000000002,0.083,0.1,0.10800000000000001,0.132,0.078,0.113,0.19399999999999998,0.11900000000000001,0.111,0.035,0.011000000000000001,0.938,0.841
Andalusia City School District,AL,1760.0,Hybrid,Yes,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,0.08053691275167786,0.5872483221476511,0.33221476510067116,0.64,0.34700000000000003,0.0,0.01,0.017,0.14300000000000002,0.048,0.065,0.08900000000000001,0.185,0.19,0.125,0.06,0.065,0.03,0.929,0.8690000000000001
Covington County School District,AL,3310.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,0.09224011713030747,0.6764275256222548,0.23133235724743778,0.948,0.046,0.016,0.015,0.007,0.033,0.042,0.08800000000000001,0.132,0.11900000000000001,0.145,0.213,0.13,0.075,0.022000000000000002,0.945,0.866
Anniston City School District,AL,2073.0,Online Only,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.11052631578947368,0.5824561403508772,0.30701754385964913,0.34600000000000003,0.693,0.015,0.04,0.009999999999999998,0.129,0.095,0.21,0.055,0.102,0.145,0.083,0.085,0.018000000000000002,0.079,0.9329999999999999,0.7040000000000001
Calhoun County School District,AL,9881.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,0.08017103153393908,0.6258685195082844,0.2939604489577766,0.858,0.13699999999999998,0.025,0.016,0.018000000000000002,0.033,0.04,0.071,0.107,0.14,0.242,0.132,0.16399999999999998,0.038,0.033,0.983,0.867
Arab City School District,AL,2369.0,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,0.059233449477351915,0.5993031358885017,0.34146341463414637,0.97,0.012,0.006,0.012,0.023,0.07200000000000001,0.05,0.083,0.083,0.14400000000000002,0.16699999999999998,0.14400000000000002,0.172,0.05,0.039,0.972,0.917
Clay County Board of Education,AL,2143.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.07534246575342465,0.6027397260273972,0.3219178082191781,0.7959999999999999,0.17,0.038,0.0,0.009000000000000001,0.073,0.073,0.073,0.09300000000000001,0.16899999999999998,0.226,0.157,0.133,0.008,0.003,0.903,0.79
Saint Clair County School District,AL,9320.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,0.08169596690796276,0.6587383660806617,0.25956566701137535,0.8740000000000001,0.098,0.02,0.015,0.027000000000000003,0.02,0.023,0.068,0.11900000000000001,0.10400000000000001,0.25,0.16,0.18600000000000003,0.066,0.006,0.968,0.877
Athens City School District,AL,3874.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.07055630936227951,0.6200814111261873,0.3093622795115332,0.8,0.151,0.004,0.024,0.068,0.064,0.035,0.12300000000000001,0.057,0.10099999999999999,0.11599999999999999,0.099,0.19,0.11599999999999999,0.099,0.941,0.8590000000000001
Limestone County School District,AL,9470.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Unknown,0.05378391242265588,0.6230366492146596,0.3231794383626844,0.873,0.10400000000000001,0.016,0.015,0.027,0.040999999999999995,0.043,0.08199999999999999,0.109,0.095,0.18100000000000002,0.213,0.141,0.055999999999999994,0.039,0.9520000000000001,0.823
Attalla City School System,AL,1483.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.08771929824561403,0.7587719298245614,0.15350877192982457,0.904,0.16899999999999998,0.0,0.0,0.015,0.081,0.0,0.113,0.105,0.129,0.282,0.21,0.08900000000000001,0.0,0.0,1.0,0.887
Auburn City School District,AL,9371.0,Online Only,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,0.08660436137071652,0.5987538940809969,0.3146417445482866,0.647,0.244,0.002,0.11900000000000001,0.004,0.078,0.035,0.078,0.04,0.11199999999999999,0.122,0.113,0.203,0.124,0.09699999999999999,0.968,0.9329999999999999
Baldwin County Public School System,AL,29838.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Unknown,0.06322270611202883,0.6440907043099564,0.29268658957801474,0.8370000000000001,0.131,0.02,0.021,0.025,0.037000000000000005,0.028999999999999998,0.048,0.071,0.102,0.19899999999999998,0.153,0.198,0.08199999999999999,0.081,0.977,0.8959999999999999
Bessemer City Schools,AL,5263.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.085480093676815,0.5725995316159251,0.34192037470726,0.094,0.853,0.01,0.0,0.087,0.083,0.078,0.23399999999999999,0.136,0.10400000000000001,0.152,0.09699999999999999,0.071,0.042,0.0,0.945,0.8109999999999999
Birmingham City Schools,AL,24211.0,Online Only,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.108498780912574,0.6229536746778125,0.2685475444096133,0.129,0.8640000000000001,0.009000000000000001,0.001,0.028999999999999998,0.146,0.07200000000000001,0.16399999999999998,0.131,0.135,0.147,0.087,0.081,0.018000000000000002,0.02,0.925,0.779
Hoover City Schools,AL,14108.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,0.09172781854569713,0.5763842561707805,0.33188792528352234,0.655,0.237,0.004,0.059000000000000004,0.078,0.021,0.015,0.036000000000000004,0.062,0.07,0.129,0.102,0.243,0.151,0.172,0.993,0.9790000000000001
Jefferson County Board of Education,AL,38423.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.07915909680768234,0.6323643913833378,0.28847651180898004,0.518,0.446,0.008,0.019,0.039,0.052000000000000005,0.044000000000000004,0.073,0.085,0.12300000000000001,0.185,0.16899999999999998,0.17800000000000002,0.061,0.027999999999999997,0.9590000000000001,0.847
Tarrant City Schools,AL,1181.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.11428571428571428,0.6952380952380952,0.19047619047619047,0.066,0.711,0.024,0.024,0.18,0.01,0.07400000000000001,0.309,0.12300000000000001,0.284,0.062,0.099,0.0,0.0,0.025,0.8270000000000001,0.63
Boaz City School System,AL,2426.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.04643962848297214,0.6687306501547988,0.2848297213622291,0.977,0.031,0.0,0.0,0.016,0.073,0.024,0.132,0.063,0.13699999999999998,0.171,0.171,0.161,0.015,0.049,0.951,0.898
Brewton City School District,AL,1176.0,Hybrid,Yes,Yes,Unknown,Yes,Not required,Unknown,Yes,Yes,Never closed,Yes,0.03821656050955414,0.6751592356687898,0.28662420382165604,0.579,0.48200000000000004,0.0,0.0,0.0,0.23199999999999998,0.07400000000000001,0.18899999999999997,0.021,0.11599999999999999,0.11599999999999999,0.168,0.042,0.042,0.008,0.674,0.589
Escambia County School District,AL,4931.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,0.0818268315889629,0.6308277830637489,0.2873453853472883,0.598,0.358,0.053,0.0,0.013999999999999999,0.147,0.05,0.111,0.087,0.145,0.203,0.11800000000000001,0.10400000000000001,0.021,0.012,0.75,0.653
Choctaw County School System,AL,1615.0,Hybrid,Unknown,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,0.06467661691542288,0.6119402985074627,0.3233830845771144,0.57,0.433,0.0,0.0,0.0,0.152,0.10400000000000001,0.055999999999999994,0.147,0.10800000000000001,0.10400000000000001,0.078,0.16,0.052000000000000005,0.043,0.9390000000000001,0.797
Wilcox County School District,AL,2015.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.034482758620689655,0.6625615763546798,0.3029556650246306,0.235,0.77,0.0,0.057,0.0,0.17800000000000002,0.102,0.159,0.08900000000000001,0.146,0.14,0.07,0.038,0.038,0.032,0.898,0.6559999999999999
Pickens County School District,AL,2966.0,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.09306260575296108,0.5499153976311336,0.3570219966159053,0.506,0.499,0.0,0.0,0.013000000000000001,0.091,0.068,0.132,0.078,0.127,0.22,0.094,0.134,0.03,0.02,0.9440000000000001,0.833
Cherokee County School District,AL,4792.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Unknown,0.05911330049261084,0.5972906403940887,0.34359605911330054,0.88,0.086,0.036000000000000004,0.005,0.003,0.053,0.051,0.059000000000000004,0.077,0.226,0.187,0.183,0.12,0.033,0.01,0.953,0.815
Bibb County Board of Education,AL,3636.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.0812407680945347,0.604135893648449,0.31462333825701627,0.748,0.259,0.0,0.0,0.0,0.053,0.06,0.138,0.085,0.08800000000000001,0.185,0.193,0.128,0.06,0.015,0.895,0.7979999999999999
