DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
2804560,Webster County School District,Public,Eupora,MS,2062.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2607,0
2804560,Webster County School District,Public,Eupora,MS,2062.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,12942,3
2804560,Webster County School District,Public,Eupora,MS,2062.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,9689,1
2804560,Webster County School District,Public,Eupora,MS,2062.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8114,0
5401530,Webster County School District,Public,Webster Springs,WV,1342.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,2607,0
5401530,Webster County School District,Public,Webster Springs,WV,1342.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,12942,3
5401530,Webster County School District,Public,Webster Springs,WV,1342.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,9689,1
5401530,Webster County School District,Public,Webster Springs,WV,1342.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,8114,0
1304770,Tattnall County School District,Public,Reidsville,GA,3952.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Not required,Unknown,Yes,Never closed,Yes,25286,17
1304540,Social Circle City School District,Public,Social Circle,GA,1765.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,111744,43
1304540,Social Circle City School District,Public,Social Circle,GA,1765.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,94593,30
1305100,Treutlen County School District,Public,Soperton,GA,1232.0,Hybrid,Yes,Yes,Pending,Pending,Not required,Required for middle/high school students only,Yes,Yes,Never closed,Yes,6901,9
1302640,Hancock County School District,Public,Sparta,GA,895.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Pending,No,Closed 6-14 days,Yes,8457,6
2102460,Hancock County School District,Public,Hawesville,KY,1688.0,Online Only,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,8457,6
2801740,Hancock County School District,Public,Kiln,MS,4758.0,Hybrid,Unknown,Unknown,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,8457,6
1301950,Echols County School District,Public,Statenville,GA,870.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,4006,0
1301740,DeKalb County School District,Public,Stone Mountain,GA,107530.0,Unknown,Unknown,Pending,Pending,Pending,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,71513,20
4700990,DeKalb County School District,Public,Smithville,TN,3055.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,71513,20
1302040,Emanuel County School District,Public,Swainsboro,GA,4445.0,Hybrid,Yes,Unknown,Unknown,Unknown,Not required,Not required,Yes,Yes,Never closed,Yes,22646,25
1304500,Screven County School District,Public,Sylvania,GA,2499.0,Hybrid,Yes,Yes,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,13966,3
1305850,Worth County School District,Public,Sylvester,GA,3586.0,Hybrid,Yes,Yes,Yes,No,Not required,Not required,Yes,Yes,Never closed,Yes,20247,7
1304650,Talbot County School District,Public,Talbotton,GA,498.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,No,Yes,Never closed,Yes,6195,3
1302670,Haralson County School District,Public,Tallapoosa,GA,3692.0,Hybrid,Unknown,Unknown,Unknown,Yes,Required for all staff,Not required,Yes,Unknown,Never closed,Yes,29792,12
1303390,Lowndes County School District,Public,Valdosta,GA,11198.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,9726,5
1303390,Lowndes County School District,Public,Valdosta,GA,11198.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,117406,56
2802730,Lowndes County School District,Public,Columbus,MS,5552.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,9726,5
2802730,Lowndes County School District,Public,Columbus,MS,5552.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,117406,56
1305310,Valdosta City School District,Public,Valdosta,GA,8353.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,117406,56
1305340,Vidalia City School District,Public,Vidalia,GA,2670.0,Hybrid,Yes,Unknown,No,No,Not required,Required for high school students only,Yes,Unknown,Never closed,Unknown,9172,7
1305340,Vidalia City School District,Public,Vidalia,GA,2670.0,Hybrid,Yes,Unknown,No,No,Not required,Required for high school students only,Yes,Unknown,Never closed,Unknown,26830,43
1305460,Warren County Public Schools,Public,Warrenton,GA,609.0,On Premises,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,40164,18
2105730,Warren County Public Schools,Public,Bowling Green,KY,15033.0,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,40164,18
5103870,Warren County Public Schools,Public,Front Royal,VA,5642.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,40164,18
1303960,Oconee County School District,Public,Watkinsville,GA,7555.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,40280,14
1305430,Ware County School District,Public,Waycross,GA,7757.0,On Premises,Yes,Yes,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,35734,31
1303120,Johnson County School District,Public,Wrightsville,GA,1186.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,9643,16
1303120,Johnson County School District,Public,Wrightsville,GA,1186.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,22188,1
1304170,Pike County School District,Public,Zebulon,GA,3701.0,Hybrid,Yes,Unknown,No,No,Not required,Not required,Yes,Unknown,Never closed,Yes,18962,8
1304170,Pike County School District,Public,Zebulon,GA,3701.0,Hybrid,Yes,Unknown,No,No,Not required,Not required,Yes,Unknown,Never closed,Yes,57876,8
2104800,Pike County School District,Public,Pikeville,KY,8692.0,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,18962,8
2104800,Pike County School District,Public,Pikeville,KY,8692.0,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,57876,8
1910350,East Union Community School District,Public,Afton,IA,437.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,16338,2
1910350,East Union Community School District,Public,Afton,IA,437.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,4894,1
1910350,East Union Community School District,Public,Afton,IA,437.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,12241,3
1903270,Albia Community School District,Public,Albia,IA,1309.0,On Premises,Yes,Yes,Yes,No,Not required,Not required,Yes,Yes,Never closed,Yes,7707,4
1903300,Alburnett Community School District,Public,Alburnett,IA,653.0,Hybrid,Yes,Unknown,Yes,Pending,Not required,Not required,Yes,Unknown,Unknown,Yes,226706,56
1903360,Algona Community School District,Public,Algona,IA,1513.0,On Premises,Yes,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,14813,3
1903360,Algona Community School District,Public,Algona,IA,1513.0,On Premises,Yes,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,10354,13
1920910,North Polk Community School District,Public,Alleman,IA,1706.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,490161,84
1920910,North Polk Community School District,Public,Alleman,IA,1706.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,97117,3
1903480,Alta-Aurelia Community School District,Public,Alta,IA,842.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,9721,7
1903540,Ames Community School District,Public,Ames,IA,4993.0,Hybrid,Yes,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,97117,3
1903570,Anamosa Community School District,Public,Anamosa,IA,1250.0,Hybrid,Unknown,Yes,Yes,Yes,Not required,Required for all students,Yes,Unknown,Never closed,Yes,20681,6
