DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
1910050,Earlham Community School District,Public,Earlham,IA,613.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,16338,2
1906240,Cardinal Community School District,Public,Eldon,IA,820.0,On Premises,Unknown,Unknown,Yes,Yes,Unknown,Not required,Yes,Unknown,Unknown,Unknown,18295,1
1906240,Cardinal Community School District,Public,Eldon,IA,820.0,On Premises,Unknown,Unknown,Yes,Yes,Unknown,Not required,Yes,Unknown,Unknown,Unknown,7044,3
1906240,Cardinal Community School District,Public,Eldon,IA,820.0,On Premises,Unknown,Unknown,Yes,Yes,Unknown,Not required,Yes,Unknown,Unknown,Unknown,34969,19
1920940,North Scott Community School District,Public,Eldridge,IA,3267.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,172943,43
1910950,Emmetsburg Community School District,Public,Emmetsburg,IA,790.0,On Premises,Yes,Unknown,Yes,No,Required for all staff,Required for high school students only,Yes,Yes,Never closed,Yes,8886,3
1911040,Essex Community School District,Public,Essex,IA,240.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,9917,5
1911040,Essex Community School District,Public,Essex,IA,240.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,15107,3
1911340,Fairfield Community School District,Public,Fairfield,IA,1769.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,18295,1
1911340,Fairfield Community School District,Public,Fairfield,IA,1769.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,7044,3
1911340,Fairfield Community School District,Public,Fairfield,IA,1769.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,34969,19
1911340,Fairfield Community School District,Public,Fairfield,IA,1769.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,21965,1
