DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,# K-12,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<$10k,$10k-$15k,$15k-$25k,$25k-$35k,$35k-$50k,$50k-$75k,$75k-$100k,$100k-$150k,$150k-$200k,$200k<,% with Computer,% with Internet
Marcellus Community School District,MI,700.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Unknown,Yes,Never closed,Yes,725,5.517241379310345,61.37931034482759,33.10344827586207,97.3,1.3,0.5,2.7,2.0,2.2,3.2,7.5,6.5,18.3,24.7,17.2,12.9,5.4,2.2,95.7,74.2
Marion Public School District,MI,430.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,580,9.482758620689655,63.793103448275865,26.724137931034484,97.6,0.6,4.0,0.0,0.0,8.5,7.0,12.7,9.9,21.1,16.9,9.9,11.3,1.1,1.1,90.1,73.2
Marlette Community Schools,MI,870.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1130,7.522123893805309,62.389380530973455,30.088495575221238,97.1,3.4,0.0,1.3,0.6,6.2,3.9,10.9,12.4,16.3,17.8,12.4,14.7,3.1,3.1,93.8,79.1
Marquette Area Public School District,MI,3781.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,3260,5.521472392638037,61.96319018404908,32.515337423312886,95.1,2.7,4.9,1.6,0.8999999999999999,3.2,2.4,7.8,5.3,11.2,15.3,20.4,20.4,9.7,4.9,98.5,92.7
Mar Lee School District,MI,303.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,200,12.5,42.5,45.0,100.0,0.0,0.0,1.9,0.0,3.1,0.0,3.1,11.5,7.7,23.1,7.7,26.9,11.5,7.7,100.0,92.3
Marshall Public School District,MI,2930.0,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,4385,7.411630558722919,64.31014823261117,28.278221208665908,82.5,22.8,1.0,0.0,0.30000000000000004,5.9,4.7,11.0,10.8,12.8,16.3,15.0,14.6,3.9,4.9,94.1,88.0
Martin Public Schools,MI,580.0,Other,Unknown,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,735,4.081632653061225,61.904761904761905,34.01360544217687,96.7,3.3,0.5,0.5,0.5,7.1,2.4,4.8,2.4,10.7,21.4,20.2,23.8,2.4,4.8,91.7,81.0
Marysville Public School District,MI,2791.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2250,8.88888888888889,56.22222222222222,34.888888888888886,97.4,2.6,1.9,1.3,3.9,1.1,2.2,4.3,4.7,7.2,23.3,14.7,29.0,6.1,6.8,99.3,95.0
Mason Public School District,MI,3464.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Unknown,Unknown,Unknown,Never closed,Yes,3400,3.5294117647058822,63.8235294117647,32.64705882352941,92.4,6.8,0.1,5.8,0.1,3.2,0.0,3.2,6.0,7.5,22.6,17.2,24.4,10.7,5.0,99.8,91.0
Mattawan Consolidated School District,MI,3845.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,3880,5.927835051546392,64.04639175257732,30.02577319587629,93.9,1.7,2.6,4.1,3.8000000000000003,2.3,0.7,2.5,4.1,6.3,9.0,11.7,30.2,16.7,16.5,99.3,97.7
Mayville Community School District,MI,596.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,1105,11.312217194570136,61.990950226244344,26.69683257918552,95.2,4.4,0.0,0.0,3.6,4.4,4.4,10.9,10.9,12.4,24.1,12.4,13.9,6.6,0.0,97.8,82.5
McBain Rural Agricultural Schl District,MI,1346.0,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for middle/high school students only,Yes,Pending,Pending,Yes,1090,7.798165137614679,66.5137614678899,25.68807339449541,98.5,0.3,0.3,0.3,1.9,0.7,0.7,10.0,5.8,17.5,22.5,20.0,15.0,3.3,4.2,95.0,88.3
Melvindale-Northern Allen Park Schl Dist,MI,3074.0,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Not required,Unknown,Unknown,Never closed,Unknown,3060,8.006535947712418,61.928104575163395,30.065359477124183,73.4,18.9,0.0,10.5,10.0,7.4,4.0,4.0,11.4,19.1,19.8,18.8,9.6,0.9,4.6,93.2,78.4
Memphis Community School District,MI,935.0,Other,Yes,Yes,No,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,820,3.658536585365854,55.48780487804878,40.853658536585364,92.7,3.0,1.2,0.5,4.2,1.9,0.0,6.8,0.8,12.6,13.6,19.4,34.0,5.8,5.8,95.1,92.2
Mendon Community School District,MI,560.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,640,7.03125,61.71875,31.25,99.2,0.6,0.0,0.6,0.0,0.0,0.0,10.7,5.3,17.3,20.0,17.3,21.3,2.7,4.0,100.0,89.3
