DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,# K-12,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<$10k,$10k-$15k,$15k-$25k,$25k-$35k,$35k-$50k,$50k-$75k,$75k-$100k,$100k-$150k,$150k-$200k,$200k<,% with Computer,% with Internet
Yupiit School District,AK,463.0,On Premises,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,390,14.102564102564102,58.97435897435897,26.923076923076923,2.4,0.0,98.8,0.0,0.0,7.9,7.9,15.8,13.2,10.5,26.3,7.9,10.5,0.0,0.0,86.8,52.6
Anchorage School District,AK,48347.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,49365,8.40676592727641,60.346399270738374,31.246834801985212,66.0,11.0,18.5,16.6,9.2,2.4,1.4,4.8,4.9,7.3,17.2,14.9,22.4,12.8,11.9,98.4,92.9
Chatham School District,AK,156.0,Hybrid,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,130,23.076923076923077,61.53846153846154,15.384615384615385,46.4,2.9,60.7,7.1,0.0,5.3,5.3,13.3,5.3,13.3,13.3,20.0,13.3,5.3,5.3,93.3,86.7
Kuspuk School District,AK,385.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,340,10.294117647058824,61.76470588235294,27.941176470588236,8.6,0.0,98.8,0.0,0.0,9.8,7.3,7.3,14.6,17.1,19.5,9.8,12.2,2.0,2.0,90.2,73.2
Lower Kuskokwim School District,AK,4310.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,3930,6.997455470737913,65.01272264631044,27.989821882951652,10.3,1.7,89.6,1.0,2.1,6.7,5.1,11.3,7.7,13.3,16.4,10.0,16.7,8.2,4.6,93.3,82.1
Kashunamiut School District,AK,323.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Unknown,Never closed,Yes,290,10.344827586206897,67.24137931034483,22.413793103448278,1.2,1.2,98.6,0.0,0.0,3.0,3.0,11.1,18.5,29.6,18.5,7.4,7.4,3.0,0.0,85.2,77.8
Craig City School District,AK,620.0,On Premises,Yes,Yes,No,Yes,Not required,Not required,Yes,Yes,Closed indefinitely,No,225,6.666666666666667,66.66666666666667,26.666666666666668,78.4,3.9,45.1,3.9,1.6,3.0,3.0,7.4,11.1,7.4,18.5,11.1,18.5,11.1,7.4,92.6,70.4
Delta-Greely School District,AK,792.0,On Premises,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,960,4.6875,65.625,29.6875,92.9,4.9,4.9,2.2,4.5,0.0,3.2,0.9,3.2,3.2,24.5,18.1,26.6,14.9,5.3,98.9,78.7
Dillingham City School District,AK,490.0,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,375,10.666666666666666,58.666666666666664,30.666666666666668,36.4,1.9,78.5,0.7,1.4,1.4,1.4,3.5,5.3,12.3,22.8,14.0,22.8,7.0,8.8,100.0,94.7
Southwest Region School District,AK,641.0,On Premises,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,640,10.9375,57.8125,31.25,6.3,1.3,96.2,0.5,0.0,8.3,1.1,11.1,15.3,16.7,19.4,13.9,13.9,1.1,0.0,88.9,77.8
Fairbanks North Star Borough Schl Dist,AK,13963.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,15725,9.85691573926868,64.83306836248013,25.31001589825119,83.0,8.7,16.2,5.6,2.6,2.9,1.2,1.3,6.4,10.2,16.2,18.3,22.2,12.5,8.9,99.5,91.3
Yukon-Koyukuk School District,AK,2069.0,Online Only,Unknown,Unknown,Pending,Yes,Pending,Pending,Pending,Pending,Pending,Pending,445,11.235955056179776,59.550561797752806,29.213483146067414,23.0,0.8,83.0,0.8,0.0,6.7,4.4,15.6,11.1,13.3,24.4,6.7,11.1,4.4,1.8,82.2,51.1
Yukon Flats School District,AK,242.0,Online Only,No,Unknown,No,No,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,245,12.244897959183673,55.10204081632653,32.6530612244898,12.1,1.4,100.0,0.0,0.0,13.3,6.7,16.7,13.3,10.0,20.0,10.0,13.3,2.7,0.0,76.7,33.3
Galena City School District,AK,4313.0,Hybrid,No,No,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,114,3.508771929824561,61.40350877192982,35.08771929824562,46.4,2.9,57.1,0.0,0.0,0.0,6.2,6.2,6.2,6.2,15.4,15.4,15.4,15.4,6.2,84.6,69.2
Copper River School District,AK,479.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,405,4.938271604938271,86.41975308641975,8.641975308641975,81.3,0.9,29.7,6.6,5.5,0.0,0.0,10.3,6.9,2.8,31.0,2.8,17.2,13.8,10.3,100.0,93.1
Haines Borough School District,AK,249.0,Hybrid,Yes,Unknown,Yes,No,Not required,Required for all students,Yes,No,Closed 1-5 days,Yes,360,2.7777777777777777,72.22222222222223,25.0,84.9,6.8,15.1,8.2,0.0,2.1,0.0,2.1,15.8,2.1,23.7,2.1,42.1,2.1,13.2,97.4,94.7
Denali Borough School District,AK,950.0,On Premises,No,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,195,0.0,56.41025641025641,43.58974358974359,91.7,1.7,8.3,8.3,0.0,3.5,0.0,0.0,3.5,13.0,13.0,17.4,43.5,8.7,0.0,100.0,100.0
Hoonah City Schools,AK,125.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,99,4.040404040404041,65.65656565656566,30.303030303030305,33.3,9.5,81.0,0.0,0.0,0.0,0.0,6.7,16.7,16.7,16.7,16.7,16.7,6.7,0.0,91.7,75.0
Hydaburg City School District,AK,93.0,Unknown,No,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,69,5.797101449275362,57.971014492753625,36.231884057971016,22.2,0.0,77.8,0.0,11.1,8.9,8.9,22.2,8.9,8.9,8.9,22.2,8.9,0.0,0.0,100.0,66.7
Juneau School District,AK,4863.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,4930,9.432048681541582,59.83772819472617,30.73022312373225,76.1,3.7,26.4,15.9,5.3,2.7,1.3,1.9,1.3,4.0,13.1,18.6,27.9,14.2,14.8,98.2,97.0
Kake City School District,AK,102.0,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,94,4.25531914893617,63.829787234042556,31.914893617021278,31.8,3.6,86.4,3.6,0.0,7.3,0.0,7.3,18.2,18.2,27.3,18.2,7.3,0.0,0.0,100.0,90.9
Ketchikan Gateway Borough Schl District,AK,2397.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Yes,Closed 1-5 days,Yes,2175,7.35632183908046,62.52873563218391,30.114942528735632,71.6,2.3,29.3,13.5,4.1,2.7,1.4,3.1,6.1,8.5,22.4,14.9,22.4,11.5,7.1,96.9,92.2
Lake and Peninsula School District,AK,386.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,280,8.928571428571429,58.92857142857143,32.142857142857146,24.6,1.2,76.9,7.7,1.2,2.7,6.7,6.7,10.0,16.7,30.0,10.0,10.0,2.7,2.7,93.3,76.7
Klawock City School District,AK,115.0,On Premises,Unknown,Yes,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 1-5 days,Unknown,125,12.0,64.0,24.0,65.4,0.0,57.7,3.1,0.0,0.0,0.0,5.7,5.7,14.3,21.4,28.6,14.3,5.7,5.7,92.9,64.3
Kodiak Island Borough School District,AK,2323.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,2385,7.966457023060797,61.63522012578616,30.39832285115304,52.9,0.1,25.7,27.3,8.4,2.6,0.3,4.0,6.3,3.3,30.1,15.6,25.5,8.6,3.6,96.7,94.0
Northwest Arctic Borough School District,AK,2260.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1900,10.263157894736842,62.63157894736842,27.105263157894736,9.3,1.5,93.3,1.3,1.1,6.0,3.0,7.5,10.5,14.0,19.0,12.0,16.0,8.5,3.5,90.5,77.5
Iditarod Area School District,AK,330.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,180,5.555555555555555,66.66666666666667,27.77777777777778,21.7,0.0,93.5,0.0,1.7,8.7,8.7,3.5,13.0,21.7,13.0,17.4,8.7,3.5,3.5,87.0,73.9
Annette Island School District,AK,323.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,365,10.95890410958904,64.38356164383562,24.65753424657534,18.3,2.4,87.8,3.7,0.0,5.6,2.2,11.1,8.3,11.1,22.2,13.9,8.3,16.7,2.2,100.0,80.6
Lower Yukon School District,AK,2105.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,No,Closed indefinitely,Yes,1810,8.839779005524862,61.60220994475138,29.558011049723756,4.5,0.4,99.3,0.7,0.2,8.7,6.0,15.3,15.3,15.8,18.6,8.7,7.1,2.7,0.4,86.3,67.8
Bristol Bay Borough School District,AK,99.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,150,13.333333333333334,56.666666666666664,30.0,59.4,2.5,50.0,2.5,5.0,4.4,0.0,4.4,4.4,4.4,16.7,16.7,22.2,11.1,11.1,94.4,83.3
Nome Public Schools,AK,714.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,740,8.108108108108109,62.83783783783784,29.054054054054053,31.0,3.2,77.5,1.1,1.5,1.9,0.0,2.9,13.6,7.8,20.4,14.6,19.4,7.8,11.7,97.1,82.5
Matanuska-Susitna Borough Schl District,AK,26075.0,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,20050,6.932668329177058,63.96508728179551,29.102244389027433,89.9,3.5,14.9,4.2,2.4,3.0,1.1,4.5,3.9,8.8,16.1,16.2,25.9,13.2,7.3,98.6,93.7
Petersburg School District,AK,447.0,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,495,5.05050505050505,64.64646464646465,30.303030303030305,76.0,0.7,14.9,25.6,3.2,3.4,1.4,8.6,3.4,6.9,24.1,13.8,22.4,10.3,6.9,94.8,87.9
Saint Marys City School District,AK,180.0,Other,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,170,5.882352941176471,70.58823529411765,23.529411764705884,2.0,2.0,100.0,0.0,5.0,11.8,4.7,11.8,11.8,11.8,35.3,11.8,4.7,0.0,4.7,94.1,94.1
Pribilof School District,AK,68.0,Hybrid,No,Unknown,No,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,64,6.25,70.3125,23.4375,4.7,0.0,100.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,25.0,10.0,25.0,0.0,0.0,100.0,75.0
Aleutians East Borough School District,AK,219.0,Hybrid,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,405,7.407407407407407,56.79012345679013,35.80246913580247,20.4,3.2,76.3,16.1,4.4,1.4,1.4,8.9,7.1,7.1,23.2,17.9,19.6,7.1,7.1,96.4,80.4
Sitka School District,AK,1328.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,1495,4.682274247491639,67.89297658862876,27.4247491638796,77.0,1.7,32.9,13.7,2.4,2.7,1.6,3.3,2.7,10.4,21.9,10.9,26.8,10.9,8.2,98.4,90.7
Skagway School District,AK,147.0,On Premises,Unknown,Yes,No,No,Required for all staff,Required for all students,Yes,No,Never closed,Yes,120,8.333333333333334,58.333333333333336,33.333333333333336,96.2,0.0,11.5,7.7,0.0,0.0,0.0,5.7,0.0,5.7,21.4,14.3,42.9,5.7,5.7,100.0,92.9
Kenai Peninsula Borough School District,AK,9124.0,Hybrid,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Yes,Unknown,Yes,9265,6.799784133837021,62.007555315704266,31.192660550458715,89.3,1.5,16.2,3.7,2.4,4.0,1.7,5.5,6.2,11.4,16.4,12.5,23.1,12.4,6.7,96.0,86.4
Southeast Island School District,AK,177.0,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,224,1.7857142857142858,62.5,35.714285714285715,89.5,0.0,19.3,1.4,1.4,0.0,2.4,2.4,2.4,5.9,14.7,29.4,29.4,14.7,0.0,100.0,91.2
Alaska Gateway School District,AK,417.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,460,6.521739130434782,68.47826086956522,25.0,28.5,0.0,52.8,18.7,0.0,8.5,0.0,10.6,1.7,12.8,10.6,4.3,31.9,14.9,1.7,87.2,72.3
Bering Strait School District,AK,1767.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,No,Closed 6-14 days,Yes,1680,10.714285714285714,63.98809523809524,25.297619047619047,5.9,0.2,97.5,0.8,0.2,6.3,4.2,9.9,12.0,17.2,22.9,13.0,10.4,4.2,0.4,93.2,72.4
Unalaska City School District,AK,480.0,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,625,8.0,63.2,28.8,40.1,2.0,10.2,48.3,27.900000000000002,1.1,1.1,1.1,4.2,2.8,16.9,25.4,28.2,8.5,11.3,98.6,84.5
North Slope Borough School District,AK,2197.0,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,1710,11.11111111111111,64.61988304093568,24.269005847953217,14.8,5.4,84.4,7.2,6.9,0.4,2.7,2.1,5.3,14.4,16.5,17.0,18.1,12.8,10.6,95.2,81.4
Wrangell Public Schools,AK,292.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,365,5.47945205479452,52.054794520547944,42.465753424657535,64.4,0.0,49.4,4.6,2.3,1.8,1.8,4.4,1.8,17.8,17.8,17.8,20.0,4.4,11.1,97.8,91.1
Yakutat School District,AK,111.0,Hybrid,Unknown,Unknown,No,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,119,3.361344537815126,63.02521008403362,33.61344537815126,62.1,0.0,34.5,10.3,9.7,0.0,6.2,6.2,6.2,6.2,23.1,23.1,30.8,6.2,0.0,100.0,84.6
Henry County School District,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2530,4.545454545454546,65.21739130434783,30.23715415019763,72.1,29.1,0.8,0.8,1.3,6.5,1.5,10.8,11.1,10.5,24.4,7.1,17.3,8.6,2.2,92.3,90.1
Alabaster City School District,AL,6277.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,6340,7.018927444794953,65.45741324921136,27.52365930599369,73.5,14.9,0.4,3.0,14.1,1.6,3.4,3.7,6.7,7.8,13.6,13.9,35.4,9.6,4.2,99.6,94.7
Albertville City School System,AL,4995.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,4430,9.367945823927766,67.15575620767494,23.47629796839729,90.6,4.3,1.3,1.3,5.1,4.6,9.6,19.0,10.4,11.5,18.6,12.5,10.9,1.5,1.3,87.7,78.5
Alexander City Schools,AL,3055.0,Hybrid,Unknown,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,3090,6.796116504854369,63.75404530744336,29.449838187702266,48.1,42.4,0.0,2.2,8.3,10.0,10.8,13.2,7.8,11.3,19.4,11.9,11.1,3.5,1.1,93.8,84.1
Andalusia City School District,AL,1760.0,Hybrid,Yes,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,1490,8.053691275167786,58.7248322147651,33.22147651006711,64.0,34.7,0.0,1.0,1.7,14.3,4.8,6.5,8.9,18.5,19.0,12.5,6.0,6.5,3.0,92.9,86.9
Covington County School District,AL,3310.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,3415,9.224011713030746,67.64275256222548,23.133235724743777,94.8,4.6,1.6,1.5,0.7,3.3,4.2,8.8,13.2,11.9,14.5,21.3,13.0,7.5,2.2,94.5,86.6
Anniston City School District,AL,2073.0,Online Only,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2850,11.052631578947368,58.24561403508772,30.70175438596491,34.6,69.3,1.5,4.0,1.0,12.9,9.5,21.0,5.5,10.2,14.5,8.3,8.5,1.8,7.9,93.3,70.4
Calhoun County School District,AL,9881.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,9355,8.017103153393908,62.58685195082843,29.39604489577766,85.8,13.7,2.5,1.6,1.8,3.3,4.0,7.1,10.7,14.0,24.2,13.2,16.4,3.8,3.3,98.3,86.7
Arab City School District,AL,2369.0,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,1435,5.923344947735192,59.930313588850176,34.146341463414636,97.0,1.2,0.6,1.2,2.3000000000000003,7.2,5.0,8.3,8.3,14.4,16.7,14.4,17.2,5.0,3.9,97.2,91.7
Clay County Board of Education,AL,2143.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2190,7.534246575342466,60.273972602739725,32.19178082191781,79.6,17.0,3.8,0.0,0.9,7.3,7.3,7.3,9.3,16.9,22.6,15.7,13.3,0.8,0.3,90.3,79.0
Saint Clair County School District,AL,9320.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,9670,8.169596690796277,65.87383660806618,25.95656670113754,87.4,9.8,2.0,1.5,2.7,2.0,2.3,6.8,11.9,10.4,25.0,16.0,18.6,6.6,0.6,96.8,87.7
Athens City School District,AL,3874.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,3685,7.055630936227951,62.00814111261872,30.936227951153324,80.0,15.1,0.4,2.4,6.800000000000001,6.4,3.5,12.3,5.7,10.1,11.6,9.9,19.0,11.6,9.9,94.1,85.9
Limestone County School District,AL,9470.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Unknown,10505,5.378391242265588,62.303664921465966,32.31794383626844,87.3,10.4,1.6,1.5,2.6999999999999997,4.1,4.3,8.2,10.9,9.5,18.1,21.3,14.1,5.6,3.9,95.2,82.3
Attalla City School System,AL,1483.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1140,8.771929824561404,75.87719298245614,15.350877192982455,90.4,16.9,0.0,0.0,1.5,8.1,0.0,11.3,10.5,12.9,28.2,21.0,8.9,0.0,0.0,100.0,88.7
Auburn City School District,AL,9371.0,Online Only,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,8025,8.66043613707165,59.875389408099686,31.46417445482866,64.7,24.4,0.2,11.9,0.4,7.8,3.5,7.8,4.0,11.2,12.2,11.3,20.3,12.4,9.7,96.8,93.3
Baldwin County Public School System,AL,29838.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Unknown,33295,6.3222706112028835,64.40907043099564,29.26865895780147,83.7,13.1,2.0,2.1,2.5,3.7,2.9,4.8,7.1,10.2,19.9,15.3,19.8,8.2,8.1,97.7,89.6
Bessemer City Schools,AL,5263.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,4270,8.548009367681498,57.259953161592506,34.19203747072599,9.4,85.3,1.0,0.0,8.7,8.3,7.8,23.4,13.6,10.4,15.2,9.7,7.1,4.2,0.0,94.5,81.1
Birmingham City Schools,AL,24211.0,Online Only,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,28710,10.849878091257402,62.29536746778126,26.854754440961337,12.9,86.4,0.9,0.1,2.9,14.6,7.2,16.4,13.1,13.5,14.7,8.7,8.1,1.8,2.0,92.5,77.9
Hoover City Schools,AL,14108.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,14990,9.172781854569713,57.63842561707805,33.18879252835224,65.5,23.7,0.4,5.9,7.8,2.1,1.5,3.6,6.2,7.0,12.9,10.2,24.3,15.1,17.2,99.3,97.9
Jefferson County Board of Education,AL,38423.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,38530,7.915909680768233,63.236439138333765,28.847651180898,51.8,44.6,0.8,1.9,3.9,5.2,4.4,7.3,8.5,12.3,18.5,16.9,17.8,6.1,2.8,95.9,84.7
Tarrant City Schools,AL,1181.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1050,11.428571428571429,69.52380952380952,19.047619047619047,6.6,71.1,2.4,2.4,18.0,1.0,7.4,30.9,12.3,28.4,6.2,9.9,0.0,0.0,2.5,82.7,63.0
Boaz City School System,AL,2426.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1615,4.643962848297214,66.87306501547988,28.48297213622291,97.7,3.1,0.0,0.0,1.6,7.3,2.4,13.2,6.3,13.7,17.1,17.1,16.1,1.5,4.9,95.1,89.8
Brewton City School District,AL,1176.0,Hybrid,Yes,Yes,Unknown,Yes,Not required,Unknown,Yes,Yes,Never closed,Yes,785,3.821656050955414,67.51592356687898,28.662420382165607,57.9,48.2,0.0,0.0,0.0,23.2,7.4,18.9,2.1,11.6,11.6,16.8,4.2,4.2,0.8,67.4,58.9
Escambia County School District,AL,4931.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,5255,8.182683158896289,63.082778306374884,28.73453853472883,59.8,35.8,5.3,0.0,1.4,14.7,5.0,11.1,8.7,14.5,20.3,11.8,10.4,2.1,1.2,75.0,65.3
Choctaw County School System,AL,1615.0,Hybrid,Unknown,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2010,6.467661691542289,61.19402985074627,32.33830845771144,57.0,43.3,0.0,0.0,0.0,15.2,10.4,5.6,14.7,10.8,10.4,7.8,16.0,5.2,4.3,93.9,79.7
Wilcox County School District,AL,2015.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2030,3.4482758620689653,66.25615763546799,30.295566502463053,23.5,77.0,0.0,5.7,0.0,17.8,10.2,15.9,8.9,14.6,14.0,7.0,3.8,3.8,3.2,89.8,65.6
Pickens County School District,AL,2966.0,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2955,9.306260575296108,54.991539763113366,35.70219966159053,50.6,49.9,0.0,0.0,1.3,9.1,6.8,13.2,7.8,12.7,22.0,9.4,13.4,3.0,2.0,94.4,83.3
Cherokee County School District,AL,4792.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Unknown,4060,5.911330049261084,59.72906403940887,34.35960591133005,88.0,8.6,3.6,0.5,0.3,5.3,5.1,5.9,7.7,22.6,18.7,18.3,12.0,3.3,1.0,95.3,81.5
Bibb County Board of Education,AL,3636.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,3385,8.124076809453472,60.4135893648449,31.462333825701624,74.8,25.9,0.0,0.0,0.0,5.3,6.0,13.8,8.5,8.8,18.5,19.3,12.8,6.0,1.5,89.5,79.8
Washington County School District,AL,3065.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,2890,6.228373702422146,62.9757785467128,30.79584775086505,62.3,31.3,8.2,0.0,0.0,9.9,1.6,10.9,13.5,15.7,17.6,14.4,11.9,3.8,0.6,94.9,68.6
City of Chickasaw School System,AL,1172.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1315,9.125475285171103,66.1596958174905,24.714828897338403,34.2,68.1,1.6,0.0,0.6,11.3,14.8,18.3,7.7,8.5,23.2,9.2,4.9,0.6,1.4,80.3,73.2
Chilton County Board of Education,AL,8519.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Unknown,Unknown,Unknown,Never closed,Yes,7515,8.982035928143713,60.612109115103124,30.40585495675316,83.6,12.8,2.4,0.5,8.1,4.1,5.0,7.5,13.8,13.6,21.7,15.3,12.0,5.9,1.0,93.3,72.3
Barbour County School District,AL,787.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1535,8.469055374592834,67.42671009771988,24.104234527687296,44.9,49.5,0.0,1.8,5.6,11.4,10.5,15.2,12.4,18.6,14.3,9.5,5.7,1.4,1.0,84.3,57.6
Shelby County School District,AL,21248.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Unknown,22720,7.746478873239437,62.61003521126761,29.643485915492956,80.2,15.6,0.7,2.0,4.699999999999999,2.2,1.2,5.0,6.0,7.9,13.7,18.5,26.7,11.4,7.4,98.5,91.2
Cullman City School District,AL,3180.0,Other,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2345,2.985074626865672,67.37739872068231,29.637526652452024,100.0,0.2,0.0,2.8,0.0,4.2,5.7,10.6,4.9,9.1,22.7,13.6,20.5,2.3,6.4,100.0,85.6
Cullman County School District,AL,10624.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,10685,6.176883481516144,63.87459054749649,29.948525970987365,95.3,3.1,1.8,0.4,2.6,5.6,3.2,8.3,9.2,17.1,21.2,15.7,13.4,5.3,1.0,95.2,83.8
Tallapoosa County Board of Education,AL,3065.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,2850,13.68421052631579,58.59649122807018,27.719298245614034,71.6,28.3,0.1,0.5,0.1,12.0,12.2,8.7,6.3,12.5,16.6,12.5,15.2,3.0,0.8,87.8,76.6
Daleville City School District,AL,1106.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1805,3.8781163434903045,60.94182825484764,35.18005540166205,77.1,15.9,5.2,7.3,5.5,12.0,3.1,2.6,10.9,5.7,25.5,14.6,16.1,6.3,3.6,94.8,83.9
